Decoded 3167.8 seconds
[04:33.000 --> 04:34.000] 对,拆整。
[04:34.000 --> 04:35.000] 钱还要多的。
[04:35.000 --> 04:36.000] 对,拆整。
[04:36.000 --> 04:38.000] 其实就是拆整。
[04:38.000 --> 04:44.000] 就是你打算是个点,你这个省区,你现在做新的市场,不够不够的话,他这个辞职里还有钱。
[04:44.000 --> 04:46.000] 市场部的这个辞职里还有钱。
[04:46.000 --> 04:48.000] 对,那部这个辞职里还要往那里补。
[04:48.000 --> 04:51.000] 对,那边去。
[04:52.000 --> 04:56.000] 还要去拽下那种资金,然后向投兵贵,干嘛,党费很多。
[04:57.000 --> 05:00.000] 孩子,公司预留多少,这个到时候我们再讨论一下。
[05:01.000 --> 05:06.000] 你去释放一下,公司预留多少,多为那个。
[05:07.000 --> 05:11.000] 就是,这个可以随时去拨,拨,就是调配的资金。
[05:12.000 --> 05:14.000] 调配的资金,这边告诉你市场部了。
[05:15.000 --> 05:19.000] 你只是整理市场,现在不够的情况下,需要其他的。
[05:19.000 --> 05:21.000] 那就是要向投资金。
[05:21.000 --> 05:26.000] 只要我,我那种,他们也要走生心,他们走生心只不过是你们那里批嘛。
[05:27.000 --> 05:31.000] 那个辞职,或者是放在你这里嘛。
[05:35.000 --> 05:43.000] 市场费用,说配置从每个财品后面去,对,下一个按钮,然后分节点去配就好了。
[05:44.000 --> 05:46.000] 对,是。
[05:46.000 --> 05:50.000] 那就他下一个单,然后这个就自动生辞出来,然后这个结会到他的。
[05:51.000 --> 05:52.000] 对,这种方言过我们。
[05:53.000 --> 05:54.000] 到一个自治里面去。
[05:55.000 --> 06:02.000] 但是用的话,那你上帐了之后,是不是要从这个户里面去,去滑走呢?
[06:03.000 --> 06:07.000] 像这样子嘛,那就用掉了吧,人家肯定要从这里,户里面滑走。
[06:08.000 --> 06:10.000] 你要跟那个,就是不是简单去做观点呢?
[06:11.000 --> 06:13.000] 不是简单,是非用。
[06:13.000 --> 06:15.000] 不是,就是要跟,是非用。
[06:16.000 --> 06:19.000] 不大进来,不大出去,不大进来,不大出去嘛,是不是简单,是简单。
[06:20.000 --> 06:22.000] 你要从,要从,要滑走嘛。
[06:23.000 --> 06:30.000] 用掉了滑走,用掉滑走,然后滑走之后有明信了,是谁,哪个交上又来多少钱,哪个交上什么时候又来,这明信要用。
[06:44.000 --> 06:49.000] 一个单读的,这个是你一个回应的单读。
[06:50.000 --> 06:52.000] 那就说明一个有个词字吗?
[06:53.000 --> 06:54.000] 对,这样子就退笔了。
[06:55.000 --> 07:00.000] 然后你现在交上评笔的时候,它其实它是还有,它是抄的,正乃是负的。
[07:01.000 --> 07:04.000] 然后在交上做活动,要用多少钱嘛。
[07:05.000 --> 07:10.000] 它是现在抄的,还是负的再用,我们都看得出来嘛。
[07:14.000 --> 07:16.000] 那你要强观点到,即交上。
[07:17.000 --> 07:19.000] 最少它又要到这样子来使用。
[07:20.000 --> 07:21.000] 是,然后是什么呢?
[07:24.000 --> 07:25.000] 分区,这个要分区嘛。
[07:26.000 --> 07:28.000] 还有个词,不是,你批评的大词图。
[07:29.000 --> 07:31.000] 对,对,分那个东西,你比较中心吧。
[07:32.000 --> 07:42.000] 不是,它只是表达,这词,表达要,那这个词,是表达,这词,这词,也是把它定待去评。
[07:43.000 --> 07:51.000] 或者他们,他们这种,从预算至什么行的,它预算到往里面,然后再开始去,去,去。
[07:52.000 --> 07:53.000] 最好也要工具,定待去。
[07:54.000 --> 08:00.000] 不过我们,博士在博的,要么,逻辑不同意乱。
[08:01.000 --> 08:04.000] 调好这定单嘛,定单反正就不易串起来。
[08:05.000 --> 08:12.000] 那这客户类型,有的就是交上,有的就是我们之音的这种客户,我们所有的东西,就是还有就是,
[08:13.000 --> 08:19.000] 那个客户啊,系统客户的透点啊,本地啊,年度和通话,什么之类。
[08:20.000 --> 08:25.000] 我觉得得把那,都客户,人家把它配置好,不要掉下,也有省区的干嘛吧。
[08:26.000 --> 08:32.000] 完毕,就是在客户文物里面加一个它的那个,那个那个叫什么,Gitl的,加一个配置。
[08:33.000 --> 08:39.000] 那反映点,反映点是,就是一个很重要的,一到反映点,这个就是要去,你卡的时候是,这个就是可能,
[08:39.000 --> 08:48.000] 因为它整年之后才是倒是反映点,反映点,反映点,反映点,反映点是有个底线的。
[08:49.000 --> 08:51.000] 你还最高,我先,先联系我。
[08:51.000 --> 08:52.000] 然后还有就是说,后反映点是很大,对,有些是上后反映点,对,上后反映点,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,
[09:21.000 --> 09:51.000] 对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对
[09:51.000 --> 09:57.120] 对财务就对那个规则对那个财务跟他们谈好的财务就对对
[09:58.000 --> 10:03.000] 相当于关键信息这个客户的关键信息配置在那个客户
[10:03.600 --> 10:04.200] 接住声声
[10:05.280 --> 10:05.680] 方面
[10:05.680 --> 10:21.680] 那这种单月的比较测地月份的活动那种那种也还叫国众指示
[10:21.680 --> 10:22.680] 国众指示
[10:22.680 --> 10:26.680] 也是反单月反而就像成大不是六月份
[10:26.680 --> 10:28.680] 那这种是对专项的活动啊
[10:29.680 --> 10:32.680] 专项的都是他不是每个月都有一个人
[10:32.680 --> 10:34.680] 那这种是要走市场面的
[10:42.680 --> 10:44.680] 这种要走市场面用什么皮来
[10:50.680 --> 10:51.680] 我说的是固定过程
[10:52.680 --> 10:53.680] 死了
[10:54.680 --> 10:55.680] 是
[10:58.680 --> 10:59.680] 是
[10:59.680 --> 11:00.680] 可怜
[11:00.680 --> 11:01.680] 不
[11:01.680 --> 11:02.680] 那这个
[11:07.680 --> 11:08.680] 来
[11:08.680 --> 11:09.680] 来
[11:10.680 --> 11:11.680] 就
[11:11.680 --> 11:12.680] 不得
[11:12.680 --> 11:13.680] 每个市场都不好
[11:14.680 --> 11:15.680] 这都不一样
[11:18.680 --> 11:19.680] 就是说
[11:20.680 --> 11:21.680] 对
[11:24.680 --> 11:25.680] 那金瞎上的年反
[11:27.680 --> 11:28.680] 年反上都是市场面用
[11:30.680 --> 11:32.680] 年反因为你是不定数嘛
[11:32.680 --> 11:33.680] 对不定数
[11:33.680 --> 11:34.680] 靠他们整批他们
[11:34.680 --> 11:35.680] 对对
[11:35.680 --> 11:36.680] 整批他们就走国面就好
[11:36.680 --> 11:37.680] 就市场面用的
[11:37.680 --> 11:38.680] 就这个词里面
[11:38.680 --> 11:41.680] 表示是不是要把这块些
[11:41.680 --> 11:43.680] 一些不为富的预头
[11:43.680 --> 11:44.680] 或者怎么样的动物
[11:45.680 --> 11:46.680] 要不然年反的时候没钱了
[11:46.680 --> 11:47.680] 那种法法
[11:48.680 --> 11:49.680] 那不是又超了吗
[11:52.680 --> 11:53.680] 比方说有年反的
[11:54.680 --> 11:55.680] 年反的不多吧
[11:55.680 --> 11:56.680] 不
[11:56.680 --> 11:57.680] 那也不少
[11:59.680 --> 12:00.680] 那现在我这个市值给的钱
[12:00.680 --> 12:01.680] 我要预留
[12:01.680 --> 12:02.680] 不然这个钱是不能动的
[12:02.680 --> 12:04.680] 因为想要留留到你
[12:04.680 --> 12:05.680] 你也得去反抗
[12:07.680 --> 12:08.680] 要不然夸啊都保持都夸完了
[12:08.680 --> 12:09.680] 然后你连反抗的时候没钱了
[12:09.680 --> 12:11.680] 那就变成超了
[12:14.680 --> 12:15.680] 然后这个就是有
[12:15.680 --> 12:16.680] 会有一个表率
[12:16.680 --> 12:17.680] 一到三会变成这样
[12:17.680 --> 12:18.680] 就是非固定
[12:18.680 --> 12:19.680] 因为是
[12:19.680 --> 12:21.680] 看他的一年做得很好
[12:21.680 --> 12:24.680] 那就按照或者按照最高点数
[12:24.680 --> 12:25.680] 最高点数就不老了
[12:25.680 --> 12:26.680] 对 最高点数就不老了
[12:26.680 --> 12:27.680] 最高点数就不老了
[12:27.680 --> 12:28.680] 最高点数就不老了
[12:35.680 --> 12:37.680] 大家问
[12:37.680 --> 12:38.680] 这些东西
[12:38.680 --> 12:40.680] 对付的这个
[12:40.680 --> 12:42.680] 那些东西
[12:42.680 --> 12:43.680] 现在就用用哪儿
[12:43.680 --> 12:45.680] 它是其实都是进完
[12:45.680 --> 12:46.680] 去进来出去
[12:46.680 --> 12:48.680] 然后这块有些留着就
[12:49.680 --> 12:51.680] 一个活动过来
[12:51.680 --> 12:52.680] 结算三个月
[12:52.680 --> 12:54.680] 有结设
[12:55.680 --> 12:57.680] 上当三个月用上来
[12:58.680 --> 12:59.680] 接下来所有的
[12:59.680 --> 13:00.680] 现在所有的上当系统
[13:00.680 --> 13:02.680] 是已经我我对他们
[13:04.680 --> 13:05.680] 什么时候用掉分
[13:05.680 --> 13:07.680] 以前的会不会有分
[13:07.680 --> 13:09.680] 上当熟熟的
[13:09.680 --> 13:10.680] 你就能今天
[13:10.680 --> 13:11.680] 我今天有个省期吗
[13:11.680 --> 13:12.680] 你
[13:12.680 --> 13:13.680] 其实你现在
[13:13.680 --> 13:14.680] 你现在有没有
[13:14.680 --> 13:15.680] 你现在少吃醉了
[13:15.680 --> 13:16.680] 那不然
[13:16.680 --> 13:18.680] 不管是熟熟的事情
[13:18.680 --> 13:19.680] 对
[13:19.680 --> 13:21.680] 跟我们是这边是没关系的
[13:21.680 --> 13:22.680] 我们就批调就相当于存在
[13:22.680 --> 13:23.680] 你就用掉了
[13:23.680 --> 13:24.680] 对
[13:24.680 --> 13:25.680] 比如说其实上当上当
[13:25.680 --> 13:27.680] 上当上当也一定用掉了
[13:27.680 --> 13:28.680] 还没有
[13:28.680 --> 13:29.680] 也是没有马上用掉
[13:29.680 --> 13:30.680] 不是
[13:30.680 --> 13:31.680] 我们今天那个是天下午
[13:31.680 --> 13:32.680] 你当天一个
[13:32.680 --> 13:33.680] 女生天下午
[13:33.680 --> 13:34.680] 你天下午
[13:34.680 --> 13:35.680] 没有吗
[13:35.680 --> 13:36.680] 没有
[13:36.680 --> 13:38.680] 那结设
[13:38.680 --> 13:40.680] 他那个是升起
[13:40.680 --> 13:41.680] 升起的实际上
[13:41.680 --> 13:43.680] 上当还是有差别
[13:43.680 --> 13:44.680] 他设起
[13:44.680 --> 13:46.680] 他有可能直接门店
[13:46.680 --> 13:47.680] 没上当
[13:47.680 --> 13:48.680] 在活动
[13:48.680 --> 13:49.680] 他上了实际
[13:49.680 --> 13:51.680] 有可能是升了实际的时候
[13:51.680 --> 13:52.680] 可能会变成八层
[13:52.680 --> 13:53.680] 因为有两个比方说
[13:53.680 --> 13:54.680] 刚好
[13:54.680 --> 13:55.680] 各种原因
[13:55.680 --> 13:56.680] 不要需要
[13:56.680 --> 13:58.680] 没找到
[13:58.680 --> 13:59.680] 或者这个门店
[13:59.680 --> 14:00.680] 刚好有什么
[14:00.680 --> 14:01.680] 你分一分
[14:01.680 --> 14:02.680] 怎么
[14:02.680 --> 14:03.680] 再分
[14:04.680 --> 14:05.680] 实际用的
[14:05.680 --> 14:07.680] 你用过的跟实际
[14:07.680 --> 14:09.680] 可能有一些差距
[14:09.680 --> 14:11.680] 升起跟实际
[14:11.680 --> 14:12.680] 可能是差距
[14:12.680 --> 14:13.680] 可能是会有的
[14:13.680 --> 14:14.680] 不会说
[14:14.680 --> 14:15.680] 这个很生气
[14:15.680 --> 14:16.680] 多少
[14:16.680 --> 14:17.680] 你就用多少
[14:17.680 --> 14:18.680] 实际扣的
[14:18.680 --> 14:19.680] 我倒觉得
[14:19.680 --> 14:20.680] 或者实际他升起
[14:20.680 --> 14:21.680] 先升起开到
[14:21.680 --> 14:23.680] 你升起先不能超
[14:23.680 --> 14:24.680] 然后实际化了
[14:24.680 --> 14:25.680] 你是留着钱
[14:25.680 --> 14:26.680] 发到下次
[14:26.680 --> 14:28.680] 多的回动
[14:28.680 --> 14:29.680] 那就是
[14:29.680 --> 14:30.680] 就像信用卡一样
[14:30.680 --> 14:31.680] 你说什么
[14:32.680 --> 14:33.680] 耳朵会把它占用掉
[14:33.680 --> 14:34.680] 对
[14:34.680 --> 14:35.680] 你再用你的耳朵
[14:35.680 --> 14:36.680] 你实际发扫
[14:36.680 --> 14:37.680] 你现在有耳朵
[14:37.680 --> 14:38.680] 还是有
[14:38.680 --> 14:39.680] 那他这个就是要搞
[14:39.680 --> 14:40.680] 那个歌星的
[14:40.680 --> 14:41.680] 语授权
[14:41.680 --> 14:42.680] 我先把你耳朵占用掉
[14:42.680 --> 14:43.680] 你再升起来
[14:43.680 --> 14:45.680] 然后你这个
[14:46.680 --> 14:47.680] 语授权做了一万
[14:47.680 --> 14:48.680] 我一万的
[14:48.680 --> 14:49.680] 把你耳朵可能占用掉了
[14:49.680 --> 14:50.680] 你再升起是升起不了的
[14:50.680 --> 14:51.680] 可以
[14:51.680 --> 14:52.680] 但是实际上
[14:52.680 --> 14:53.680] 你到最后消费的时候
[14:53.680 --> 14:54.680] 只有六千
[14:54.680 --> 14:55.680] 那个时候呢
[14:55.680 --> 14:56.680] 又把它
[14:56.680 --> 14:57.680] 释放成了
[14:57.680 --> 14:59.680] 一万的这个
[14:59.680 --> 15:00.680] 语授权
[15:00.680 --> 15:01.680] 把它变成六千的
[15:01.680 --> 15:02.680] 消费的确诊带
[15:02.680 --> 15:03.680] 然后另外事情
[15:03.680 --> 15:04.680] 把它释放出来
[15:04.680 --> 15:05.680] 明白
[15:05.680 --> 15:06.680] 懂了
[15:06.680 --> 15:07.680] 可以
[15:07.680 --> 15:08.680] 前轮老关
[15:08.680 --> 15:09.680] 关系还没做好
[15:09.680 --> 15:10.680] 嗯好
[15:13.680 --> 15:14.680] 那就是下来是我这边
[15:14.680 --> 15:16.680] 每个产品有多少费用
[15:16.680 --> 15:17.680] 然后这个词里面
[15:17.680 --> 15:18.680] 这个是按照你升起来
[15:18.680 --> 15:19.680] 你反正升起来
[15:19.680 --> 15:20.680] 你操了你就
[15:20.680 --> 15:21.680] 你就升起不了了
[15:21.680 --> 15:22.680] 对
[15:22.680 --> 15:23.680] 但你实际时间的时候
[15:23.680 --> 15:24.680] 你肯定少了之后
[15:24.680 --> 15:25.680] 再把你释放回来
[15:25.680 --> 15:26.680] 你下期就用了
[15:26.680 --> 15:27.680] 下期就用了
[15:27.680 --> 15:28.680] 上个月
[15:28.680 --> 15:29.680] 可以再来一个
[15:29.680 --> 15:30.680] 对对对
[15:30.680 --> 15:31.680] 明白
[15:37.680 --> 15:42.680] 那这样它连反了那块
[15:42.680 --> 15:45.680] 那我就要经每个金箱商
[15:45.680 --> 15:46.680] 我我我
[15:46.680 --> 15:47.680] 明天不会是我
[15:47.680 --> 15:49.680] 那你跟你有点一样
[15:49.680 --> 15:50.680] 就是就是
[15:50.680 --> 15:51.680] 就是每个月
[15:51.680 --> 15:52.680] 一个月过了以后
[15:52.680 --> 15:53.680] 它的连反
[15:53.680 --> 15:54.680] 就要要把它
[15:54.680 --> 15:56.680] 要把它扣到来
[15:56.680 --> 15:57.680] 嗯
[15:58.680 --> 16:00.680] 扣到就是就是这个金
[16:00.680 --> 16:01.680] 有一到三十
[16:01.680 --> 16:02.680] 到你年到
[16:02.680 --> 16:03.680] 就高坑
[16:03.680 --> 16:04.680] 一到五
[16:04.680 --> 16:05.680] 就高坑
[16:05.680 --> 16:06.680] 实际上它再把它
[16:06.680 --> 16:07.680] 再把它释放回来
[16:07.680 --> 16:08.680] 它到底是一样的
[16:08.680 --> 16:09.680] 它释放的时候
[16:09.680 --> 16:10.680] 可能又是发年度
[16:10.680 --> 16:11.680] 第二年
[16:11.680 --> 16:12.680] 发到第二年去
[16:12.680 --> 16:14.680] 因为它是一年之后
[16:14.680 --> 16:15.680] 再给它分
[16:15.680 --> 16:16.680] 嗯
[16:16.680 --> 16:17.680] 那么现在我要锁一年
[16:20.680 --> 16:22.680] 我用你的手这么长时间起来
[16:22.680 --> 16:24.680] 我年反而是一年
[16:24.680 --> 16:25.680] 现在又是锁一年
[16:25.680 --> 16:26.680] 咱们要平均掉下来
[16:26.680 --> 16:27.680] 其实我们平台
[16:27.680 --> 16:28.680] 每个月的话
[16:28.680 --> 16:30.680] 你不也能铺得出来
[16:30.680 --> 16:32.680] 那这边就是它的小的
[16:32.680 --> 16:33.680] 我是要看一下
[16:33.680 --> 16:35.680] 你来一个个点
[16:35.680 --> 16:37.680] 你的合同能这么签了吗
[16:37.680 --> 16:38.680] 或者说它
[16:38.680 --> 16:39.680] 三到十三个点
[16:39.680 --> 16:40.680] 把它扣到来
[16:40.680 --> 16:42.680] 再给它签过吗
[16:42.680 --> 16:44.680] 但是你能锁一年
[16:44.680 --> 16:45.680] 一年之后才知道
[16:45.680 --> 16:46.680] 它是给它一
[16:46.680 --> 16:47.680] 还是给它三
[16:47.680 --> 16:48.680] 还是给它二
[16:48.680 --> 16:49.680] 但它那个整的这个
[16:49.680 --> 16:50.680] 肯定会把它律庭
[16:50.680 --> 16:51.680] 对吧
[16:51.680 --> 16:53.680] 比如说我
[16:53.680 --> 16:55.680] 这个比如一万块钱的这个
[16:55.680 --> 16:56.680] 金
[16:56.680 --> 16:57.680] 对吧
[16:57.680 --> 16:58.680] 那么你实际
[16:58.680 --> 16:59.680] 比如说你年反的话
[16:59.680 --> 17:00.680] 本来是
[17:00.680 --> 17:01.680] 六千
[17:02.680 --> 17:04.680] 那么这两个肯定不够了吗
[17:04.680 --> 17:05.680] 不够了我还要再挑吗
[17:05.680 --> 17:06.680] 什么意思
[17:06.680 --> 17:08.680] 就是说我这个受信这一块
[17:09.680 --> 17:11.680] 刚才说的那个资金这一块
[17:11.680 --> 17:12.680] 我是不是想到
[17:12.680 --> 17:14.680] 四年的还要重新给它
[17:14.680 --> 17:16.680] 去挑配这个资金的
[17:16.680 --> 17:19.680] 就算上三年都有没有结局吗
[17:19.680 --> 17:21.680] 四年
[17:22.680 --> 17:23.680] 如果不足的话
[17:23.680 --> 17:24.680] 我持续再给它增加
[17:25.680 --> 17:26.680] 如果说比如说
[17:26.680 --> 17:27.680] 四年不足的话
[17:27.680 --> 17:28.680] 我还给它增加
[17:29.680 --> 17:30.680] 你现在动了一万吗
[17:30.680 --> 17:31.680] 就一个月动到
[17:31.680 --> 17:32.680] 一万二好了
[17:32.680 --> 17:33.680] 一个月动到一千马上来
[17:33.680 --> 17:34.680] 对
[17:34.680 --> 17:36.680] 实际上合的时候就六千
[17:36.680 --> 17:38.680] 那还有六千不至于
[17:38.680 --> 17:39.680] 还要增加
[17:39.680 --> 17:41.680] 要变成是上年结局嘛
[17:41.680 --> 17:42.680] 对
[17:42.680 --> 17:43.680] 本年结局的不错
[17:43.680 --> 17:44.680] 其实就
[17:47.680 --> 17:48.680] 性格的模式
[17:52.680 --> 17:54.680] 这个动结时间会比较差一点
[17:54.680 --> 17:55.680] 不像那个飞影
[17:55.680 --> 17:56.680] 飞影比较重
[17:56.680 --> 17:57.680] 那个生起来
[17:57.680 --> 17:58.680] 我下个月可能是把你合掉了
[17:58.680 --> 17:59.680] 那是
[17:59.680 --> 18:00.680] 第二个就把你施放出来
[18:00.680 --> 18:01.680] 然后这个是要选择
[18:01.680 --> 18:02.680] 整年才能施放出来
[18:02.680 --> 18:04.680] 我们现在其实一部分
[18:04.680 --> 18:06.680] 是这个按言来得及
[18:06.680 --> 18:08.680] 还有部分是有没有愿意
[18:08.680 --> 18:09.680] 那你就是
[18:09.680 --> 18:10.680] 年反
[18:10.680 --> 18:11.680] 年反
[18:11.680 --> 18:12.680] 别的都没有
[18:14.680 --> 18:15.680] 其他飞影是反正
[18:15.680 --> 18:16.680] 我现在要求是
[18:16.680 --> 18:17.680] 七月份的所有的飞影
[18:17.680 --> 18:18.680] 然后八月
[18:18.680 --> 18:19.680] 全部要把它投来
[18:19.680 --> 18:20.680] 就
[18:22.680 --> 18:23.680] 就不划算
[18:23.680 --> 18:24.680] 所有飞影就
[18:24.680 --> 18:25.680] 合外合外合外这样子
[18:26.680 --> 18:27.680] 因为现在是我们
[18:27.680 --> 18:28.680] 当业
[18:28.680 --> 18:29.680] 当业是吧
[18:29.680 --> 18:30.680] 不是 四月
[18:30.680 --> 18:31.680] 七月份的活动
[18:31.680 --> 18:33.680] 只能是七月底才能结束
[18:33.680 --> 18:35.680] 我八月份全部都把它合完
[18:36.680 --> 18:38.680] 然后八月份的活动
[18:38.680 --> 18:39.680] 九月份全部合完
[18:39.680 --> 18:41.680] 就不会再有之前的
[18:41.680 --> 18:42.680] 因为之前没系统
[18:42.680 --> 18:44.680] 他没提讲我是不知道
[18:44.680 --> 18:45.680] 他资料没有
[18:45.680 --> 18:46.680] 现在主要系统里面
[18:46.680 --> 18:47.680] 就不会犯罪了
[18:47.680 --> 18:48.680] 那些他已经直写了
[18:48.680 --> 18:50.680] 但是没资料没
[18:50.680 --> 18:51.680] 就不会有
[18:51.680 --> 18:52.680] 所以系统还是
[18:52.680 --> 18:53.680] 方便所做
[18:53.680 --> 18:54.680] 我可能说把握
[18:54.680 --> 18:55.680] 因为之前手工的话
[18:55.680 --> 18:56.680] 我把握不了
[18:56.680 --> 18:57.680] 我说他是没资讯
[18:57.680 --> 18:58.680] 还资料没冰
[19:00.680 --> 19:02.680] 然后就不
[19:03.680 --> 19:04.680] 你还要把他
[19:04.680 --> 19:05.680] 最新的额度给他
[19:06.680 --> 19:08.680] 就我们现在那个
[19:08.680 --> 19:09.680] 社会的那个流程
[19:09.680 --> 19:10.680] 其实差不多了
[19:11.680 --> 19:13.680] 不是 我并没说
[19:14.680 --> 19:16.680] 他还蛮慢的 四百万的活
[19:16.680 --> 19:18.680] 有个四万块钱的市场很有
[19:19.680 --> 19:20.680] 他要推钱
[19:20.680 --> 19:22.680] 具体月份的还是
[19:22.680 --> 19:23.680] 然后七月份推
[19:23.680 --> 19:24.680] 月份应该要推
[19:24.680 --> 19:25.680] 要推 没有这个办法
[19:31.680 --> 19:32.680] 这市场没有什么
[19:32.680 --> 19:33.680] 有什么处理处理的
[19:33.680 --> 19:34.680] 对 还没提过
[19:34.680 --> 19:35.680] 不得了 往下面
[19:35.680 --> 19:36.680] 你一个人卖过
[19:36.680 --> 19:37.680] 可能会把他损伤掉
[19:37.680 --> 19:38.680] 对
[19:38.680 --> 19:40.680] 对 又可能就生起来了
[19:40.680 --> 19:41.680] 用可能用吧
[19:41.680 --> 19:43.680] 对 这地方
[19:43.680 --> 19:44.680] 现在肯定用
[19:45.680 --> 19:46.680] 以上你借用
[19:46.680 --> 19:47.680] 你欠借了一万
[19:47.680 --> 19:48.680] 就把你损伤掉了
[19:48.680 --> 19:50.680] 你去找找
[19:50.680 --> 19:51.680] 那你这就不还借
[19:51.680 --> 19:52.680] 对
[19:53.680 --> 19:54.680] 你用的以后
[19:54.680 --> 19:55.680] 拿一块钱
[19:55.680 --> 19:56.680] 要铺别铺了
[19:56.680 --> 19:58.680] 不要 过来
[19:58.680 --> 19:59.680] 就有一段时间
[19:59.680 --> 20:00.680] 发现你这种人
[20:00.680 --> 20:01.680] 不可能在房间
[20:01.680 --> 20:02.680] 要做几条道路
[20:02.680 --> 20:04.680] 那你前面欠了再一倍
[20:04.680 --> 20:06.680] 你前面那个账单还是
[20:07.680 --> 20:08.680] 你之前是你还原
[20:08.680 --> 20:10.680] 你这没有东西可以用的
[20:10.680 --> 20:11.680] 那个
[20:11.680 --> 20:12.680] 你完开以后
[20:12.680 --> 20:13.680] 现在还是不明
[20:13.680 --> 20:14.680] 你还原 现在还是不老实点
[20:22.680 --> 20:23.680] 所以以后
[20:23.680 --> 20:25.680] 一来 最后一天就要
[20:25.680 --> 20:26.680] 老实点
[20:42.680 --> 20:43.680] 那具体的我的品的
[20:43.680 --> 20:46.680] 分用我要跟张海识那个时候
[20:47.680 --> 20:49.680] 所以在那边对
[20:49.680 --> 20:51.680] 分用不是你这里的
[20:51.680 --> 20:52.680] 你能不能拿上去
